Reference,Fm/Platform Name,Location,Lattitude,Longitude,Period,Series or stage,Lower,Upper,Center,Range,bin,Tepees,Pisoids
Trappe (1992),Paleogene series,Morocco,31.661562,-8.192232,Paleogene,,66,23,44.5,43,2,No,No
Nichols and Watchorn  (1998),Hadramaut Gp.,Yemen,14.847491,49.76336,Paleocene-Olig,,66,23,44.5,43,2,No,No
 Al-Youzbaki et al. (2005),Euphrates Fm.,N Iraq,34.36533,41.719829,Oligocene,,66,23,44.5,43,2,Yes,No
Ranjbaran et al. (2007),Asmari Fm.,C Iran,30.52782,50.900626,Miocene,,23,0,11.5,23,1,No,No
Shawkat and Tucker (1978),Fars Fm.,Iraq,34.442357,44.171835,Miocene,,23,0,11.5,23,1,No,No
El Sayed (1986),Gebel El Rusas Formation,Egypt,24.991291,34.840788,Miocene,,23,0,11.5,23,1,No,No
Shawkat and Tucker (1978),Fars Fm.,Iraq,30.287234,46.044723,Miocene,,23,0,11.5,23,1,No,No
Aqrawi et al. (2006),Asmari Fm.,SW Iran,31.095706,49.319165,Miocene,,23,0,11.5,23,1,No,No
Al-Juboury and McCan (2008),Fatha Fm.,NE Iraq,36.185081,42.909838,Miocene,,23,0,11.5,23,1,No,No
Aref and Mandurah (2011),Dafin Fm.,E Saudi,21.733743,39.266521,Miocene,,23,0,11.5,23,1,No,No
Dill et al. (2005),Dam Fm.,Qatar,25.226889,51.139131,Miocene,,23,0,11.5,23,1,No,No
Nichols and Watchorn  (1998),Hadramaut Gp.,Yemen,14.847491,49.76336,Micoene-recent,,23,0,11.5,23,1,No,No
Ocakoglu et al. (2018),Karamam Member,Turkey ,39.852547,37.854705,Miocene,,23,0,11.5,23,1,Yes,No
Bashri et al. (2017),Dam Fm.,C Saudi Arabia,25.610633,48.663918,Miocene,,23,0,11.5,23,1,Yes,No
James et al. (1988),Gebel Abu Shaar,Egypt,27.849456,33.406773,Miocene,,23,0,11.5,23,1,Yes,No
Schreiber and Friedman (1976),Sicilian Basin,Sicily,37.368538,13.739944,Miocene,,23,0,11.5,23,1,No,Yes
